date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:35	31600/31600	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-3.html	demos.grayic.com/omega/landing-3.html	(from )
00:57:37	67/67	---MC-	200	added ('OK')	text/plain	date:Sun,%2019%20Apr%202020%2004:57:36%20GMT	https://demos.grayic.com/robots.txt		(from )
00:57:37	4130/4130	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Apr%202020%2004:57:37%20GMT	https://demos.grayic.com/omega/image/png/favicon.png	demos.grayic.com/omega/image/png/favicon.1.delayed	(from https://demos.grayic.com/omega/landing-3.html)
00:57:39	155758/155758	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/plugins/bootstrap-4/css/bootstrap.min.css	demos.grayic.com/omega/plugins/bootstrap-4/css/bootstrap.min.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:39	8721/8721	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/fonts/icon-font/css/style.css	demos.grayic.com/omega/fonts/icon-font/css/style.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:40	3102/3102	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/fonts/typography-font/typo.css	demos.grayic.com/omega/fonts/typography-font/typo.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:42	70060/70060	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/fonts/fontawesome-5/css/all.css	demos.grayic.com/omega/fonts/fontawesome-5/css/all.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:42	26055/26055	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/plugins/aos/aos.min.css	demos.grayic.com/omega/plugins/aos/aos.min.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:43	12795/12795	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/plugins/fancybox/jquery.fancybox.min.css	demos.grayic.com/omega/plugins/fancybox/jquery.fancybox.min.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:44	4145/4145	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/plugins/nice-select/nice-select.css	demos.grayic.com/omega/plugins/nice-select/nice-select.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:45	1776/1776	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/plugins/slick/slick.css	demos.grayic.com/omega/plugins/slick/slick.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:46	7311/7311	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:40%20GMT	https://demos.grayic.com/omega/css/settings.css	demos.grayic.com/omega/css/settings.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:48	45/45	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/css/custom.css	demos.grayic.com/omega/css/custom.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:48	550606/550606	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2014:36:40%20GMT	https://demos.grayic.com/omega/css/main.css	demos.grayic.com/omega/css/main.css	(from https://demos.grayic.com/omega/landing-3.html)
00:57:49	1600/1600	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Mar%202020%2008:15:04%20GMT	https://demos.grayic.com/omega/image/png/logo-white.png	demos.grayic.com/omega/image/png/logo-white.png	(from https://demos.grayic.com/omega/landing-3.html)
00:57:50	34803/34803	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-1.html	demos.grayic.com/omega/landing-1.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:51	37729/37729	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-2.html	demos.grayic.com/omega/landing-2.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:52	33760/33760	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-4.html	demos.grayic.com/omega/landing-4.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:53	34900/34900	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-5.html	demos.grayic.com/omega/landing-5.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:54	42663/42663	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-6.html	demos.grayic.com/omega/landing-6.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:55	24793/24793	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-7.html	demos.grayic.com/omega/landing-7.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:56	30583/30583	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/landing-8.html	demos.grayic.com/omega/landing-8.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:57	24241/24241	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:36%20GMT	https://demos.grayic.com/omega/about.html	demos.grayic.com/omega/about.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:58	26415/26415	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/career-page.html	demos.grayic.com/omega/career-page.html	(from https://demos.grayic.com/omega/landing-3.html)
00:57:59	23419/23419	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/careerdetails.html	demos.grayic.com/omega/careerdetails.html	(from https://demos.grayic.com/omega/landing-3.html)
00:58:00	27394/27394	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/case-study.html	demos.grayic.com/omega/case-study.html	(from https://demos.grayic.com/omega/landing-3.html)
00:58:01	27526/27526	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2014:36:38%20GMT	https://demos.grayic.com/omega/case-study-details.html	demos.grayic.com/omega/case-study-details.html	(from https://demos.grayic.com/omega/landing-3.html)
